Training FedAvg with model cifarnet on cifar100 for 100 clients.
Hyperparameters: LR=0.01, WD=0.0005, Local Epochs=5, Global Rounds=200
Round [1/200]	 Train Loss [3.9137]	 Train Acc [14.55%]	 Time [23.30s]
Round [2/200]	 Train Loss [3.7838]	 Train Acc [15.88%]	 Time [28.20s]
Round [3/200]	 Train Loss [3.5443]	 Train Acc [19.89%]	 Time [32.90s]
Round [4/200]	 Train Loss [3.3692]	 Train Acc [22.80%]	 Time [24.75s]
Round [5/200]	 Train Loss [3.2175]	 Train Acc [25.13%]	 Time [22.83s]
Round [6/200]	 Train Loss [3.0161]	 Train Acc [29.34%]	 Time [25.68s]
Round [7/200]	 Train Loss [2.8602]	 Train Acc [32.27%]	 Time [28.34s]
Round [8/200]	 Train Loss [2.7280]	 Train Acc [34.60%]	 Time [26.05s]
Round [9/200]	 Train Loss [2.5929]	 Train Acc [37.75%]	 Time [26.52s]
Round [10/200]	 Train Loss [2.4834]	 Train Acc [39.96%]	 Time [29.80s]
Round [11/200]	 Train Loss [2.3196]	 Train Acc [43.14%]	 Time [27.25s]
Round [12/200]	 Train Loss [2.2130]	 Train Acc [45.97%]	 Time [25.69s]
Round [13/200]	 Train Loss [2.1044]	 Train Acc [48.32%]	 Time [25.28s]
Round [14/200]	 Train Loss [2.0043]	 Train Acc [50.87%]	 Time [27.39s]
Round [15/200]	 Train Loss [1.9197]	 Train Acc [53.09%]	 Time [21.96s]
Round [16/200]	 Train Loss [1.7997]	 Train Acc [55.66%]	 Time [24.12s]
Round [17/200]	 Train Loss [1.7558]	 Train Acc [56.55%]	 Time [27.53s]
Round [18/200]	 Train Loss [1.6794]	 Train Acc [58.54%]	 Time [29.54s]
Round [19/200]	 Train Loss [1.6447]	 Train Acc [59.53%]	 Time [19.20s]
Round [20/200]	 Train Loss [1.5606]	 Train Acc [61.22%]	 Time [22.77s]
Round [21/200]	 Train Loss [1.5567]	 Train Acc [61.65%]	 Time [22.46s]
Round [22/200]	 Train Loss [1.4834]	 Train Acc [63.39%]	 Time [23.19s]
Round [23/200]	 Train Loss [1.4439]	 Train Acc [64.24%]	 Time [26.91s]
Round [24/200]	 Train Loss [1.3916]	 Train Acc [65.27%]	 Time [24.22s]
Round [25/200]	 Train Loss [1.3778]	 Train Acc [65.94%]	 Time [30.91s]
Round [26/200]	 Train Loss [1.3230]	 Train Acc [67.05%]	 Time [40.63s]
Round [27/200]	 Train Loss [1.3068]	 Train Acc [67.55%]	 Time [38.98s]
Round [28/200]	 Train Loss [1.2724]	 Train Acc [68.28%]	 Time [36.18s]
Round [29/200]	 Train Loss [1.2119]	 Train Acc [69.67%]	 Time [34.17s]
Round [30/200]	 Train Loss [1.2171]	 Train Acc [69.49%]	 Time [31.71s]
Round [31/200]	 Train Loss [1.2219]	 Train Acc [69.32%]	 Time [26.66s]
Round [32/200]	 Train Loss [1.1474]	 Train Acc [71.26%]	 Time [23.66s]
Round [33/200]	 Train Loss [1.1501]	 Train Acc [71.31%]	 Time [37.43s]
Round [34/200]	 Train Loss [1.1340]	 Train Acc [71.48%]	 Time [29.30s]
Round [35/200]	 Train Loss [1.1128]	 Train Acc [72.21%]	 Time [41.54s]
Round [36/200]	 Train Loss [1.0962]	 Train Acc [72.55%]	 Time [36.73s]
Round [37/200]	 Train Loss [1.0563]	 Train Acc [73.51%]	 Time [38.06s]
Round [38/200]	 Train Loss [1.0415]	 Train Acc [73.73%]	 Time [39.88s]
Round [39/200]	 Train Loss [1.0521]	 Train Acc [73.59%]	 Time [32.29s]
Round [40/200]	 Train Loss [1.0203]	 Train Acc [74.15%]	 Time [37.64s]
Round [41/200]	 Train Loss [1.0230]	 Train Acc [74.38%]	 Time [29.61s]
Round [42/200]	 Train Loss [1.0030]	 Train Acc [74.73%]	 Time [35.22s]
Round [43/200]	 Train Loss [1.0198]	 Train Acc [74.28%]	 Time [23.87s]
Round [44/200]	 Train Loss [0.9769]	 Train Acc [75.37%]	 Time [30.67s]
Round [45/200]	 Train Loss [0.9710]	 Train Acc [75.34%]	 Time [39.44s]
Round [46/200]	 Train Loss [0.9561]	 Train Acc [75.77%]	 Time [32.95s]
Round [47/200]	 Train Loss [0.9284]	 Train Acc [76.30%]	 Time [27.88s]
Round [48/200]	 Train Loss [0.9128]	 Train Acc [76.84%]	 Time [33.12s]
Round [49/200]	 Train Loss [0.9068]	 Train Acc [76.98%]	 Time [32.78s]
Round [50/200]	 Train Loss [0.8951]	 Train Acc [77.25%]	 Time [27.06s]
Round [51/200]	 Train Loss [0.8897]	 Train Acc [77.34%]	 Time [37.23s]
Round [52/200]	 Train Loss [0.9004]	 Train Acc [77.13%]	 Time [30.98s]
Round [53/200]	 Train Loss [0.9084]	 Train Acc [77.02%]	 Time [33.42s]
Round [54/200]	 Train Loss [0.8883]	 Train Acc [77.51%]	 Time [29.04s]
Round [55/200]	 Train Loss [0.8547]	 Train Acc [78.20%]	 Time [32.89s]
Round [56/200]	 Train Loss [0.8409]	 Train Acc [78.41%]	 Time [39.04s]
Round [57/200]	 Train Loss [0.8442]	 Train Acc [78.62%]	 Time [32.07s]
Round [58/200]	 Train Loss [0.8494]	 Train Acc [78.19%]	 Time [29.19s]
Round [59/200]	 Train Loss [0.8227]	 Train Acc [79.00%]	 Time [32.05s]
Round [60/200]	 Train Loss [0.8385]	 Train Acc [78.45%]	 Time [30.87s]
Round [61/200]	 Train Loss [0.8079]	 Train Acc [79.27%]	 Time [33.29s]
Round [62/200]	 Train Loss [0.8125]	 Train Acc [79.23%]	 Time [28.13s]
Round [63/200]	 Train Loss [0.7960]	 Train Acc [79.67%]	 Time [34.48s]
Round [64/200]	 Train Loss [0.7892]	 Train Acc [79.80%]	 Time [29.89s]
Round [65/200]	 Train Loss [0.7903]	 Train Acc [79.69%]	 Time [21.20s]
Round [66/200]	 Train Loss [0.7733]	 Train Acc [80.17%]	 Time [43.35s]
Round [67/200]	 Train Loss [0.7745]	 Train Acc [80.06%]	 Time [32.97s]
Round [68/200]	 Train Loss [0.7513]	 Train Acc [80.66%]	 Time [33.28s]
Round [69/200]	 Train Loss [0.7590]	 Train Acc [80.49%]	 Time [27.67s]
