Training FedAvg with model cifarnet on cifar10 for 100 clients.
Hyperparameters: LR=0.01, WD=0.0005, Local Epochs=5, Global Rounds=200
Round [1/200]	 Train Loss [1.3411]	 Train Acc [54.00]	 Train Time [95.63]
Round [2/200]	 Train Loss [1.1383]	 Train Acc [60.82]	 Train Time [27.23]
Round [3/200]	 Train Loss [1.0955]	 Train Acc [62.15]	 Train Time [34.65]
Round [4/200]	 Train Loss [1.0291]	 Train Acc [64.42]	 Train Time [36.83]
Round [5/200]	 Train Loss [0.9893]	 Train Acc [65.98]	 Train Time [26.45]
Round [6/200]	 Train Loss [0.8590]	 Train Acc [70.55]	 Train Time [32.31]
Round [7/200]	 Train Loss [0.8277]	 Train Acc [71.79]	 Train Time [33.37]
Round [8/200]	 Train Loss [0.7976]	 Train Acc [72.81]	 Train Time [33.15]
Round [9/200]	 Train Loss [0.7323]	 Train Acc [75.44]	 Train Time [30.88]
Round [10/200]	 Train Loss [0.6977]	 Train Acc [76.67]	 Train Time [36.51]
Round [11/200]	 Train Loss [0.6776]	 Train Acc [77.47]	 Train Time [26.51]
Round [12/200]	 Train Loss [0.5962]	 Train Acc [80.24]	 Train Time [36.79]
Round [13/200]	 Train Loss [0.6020]	 Train Acc [80.27]	 Train Time [27.48]
Round [14/200]	 Train Loss [0.5778]	 Train Acc [80.96]	 Train Time [37.51]
Round [15/200]	 Train Loss [0.5419]	 Train Acc [82.24]	 Train Time [28.90]
Round [16/200]	 Train Loss [0.5068]	 Train Acc [83.74]	 Train Time [28.30]
Round [17/200]	 Train Loss [0.5218]	 Train Acc [82.86]	 Train Time [28.02]
Round [18/200]	 Train Loss [0.4962]	 Train Acc [83.96]	 Train Time [17.75]
Round [19/200]	 Train Loss [0.5227]	 Train Acc [83.09]	 Train Time [33.20]
Round [20/200]	 Train Loss [0.4777]	 Train Acc [84.88]	 Test Loss [2.3098|0.7716]	 Test Acc [8.75(14.75)|75.39(10.88)]	 Train Time [17.15]
Round [21/200]	 Train Loss [0.4501]	 Train Acc [85.51]	 Train Time [40.34]
Round [22/200]	 Train Loss [0.4436]	 Train Acc [85.66]	 Train Time [32.55]
Round [23/200]	 Train Loss [0.4606]	 Train Acc [85.33]	 Train Time [36.07]
Round [24/200]	 Train Loss [0.4344]	 Train Acc [86.08]	 Train Time [35.98]
Round [25/200]	 Train Loss [0.4379]	 Train Acc [86.12]	 Train Time [36.41]
Round [26/200]	 Train Loss [0.4104]	 Train Acc [86.93]	 Train Time [47.96]
Round [27/200]	 Train Loss [0.3955]	 Train Acc [87.49]	 Train Time [36.52]
Round [28/200]	 Train Loss [0.3826]	 Train Acc [87.88]	 Train Time [28.64]
Round [29/200]	 Train Loss [0.3924]	 Train Acc [87.68]	 Train Time [26.27]
Round [30/200]	 Train Loss [0.4122]	 Train Acc [86.99]	 Train Time [35.24]
Round [31/200]	 Train Loss [0.3985]	 Train Acc [87.46]	 Train Time [32.81]
Round [32/200]	 Train Loss [0.3788]	 Train Acc [88.11]	 Train Time [24.03]
Round [33/200]	 Train Loss [0.3753]	 Train Acc [88.31]	 Train Time [26.36]
Round [34/200]	 Train Loss [0.4096]	 Train Acc [87.12]	 Train Time [18.29]
Round [35/200]	 Train Loss [0.3904]	 Train Acc [87.70]	 Train Time [33.11]
Round [36/200]	 Train Loss [0.3573]	 Train Acc [88.76]	 Train Time [27.28]
Round [37/200]	 Train Loss [0.3685]	 Train Acc [88.66]	 Train Time [33.64]
Round [38/200]	 Train Loss [0.3600]	 Train Acc [88.72]	 Train Time [41.05]
Round [39/200]	 Train Loss [0.3526]	 Train Acc [88.99]	 Train Time [40.42]
Round [40/200]	 Train Loss [0.3487]	 Train Acc [89.05]	 Test Loss [2.3167|0.7262]	 Test Acc [10.55(16.56)|77.16(10.32)]	 Train Time [34.33]
Round [41/200]	 Train Loss [0.3558]	 Train Acc [88.86]	 Train Time [34.48]
Round [42/200]	 Train Loss [0.3248]	 Train Acc [89.82]	 Train Time [41.40]
Round [43/200]	 Train Loss [0.3376]	 Train Acc [89.39]	 Train Time [22.69]
Round [44/200]	 Train Loss [0.3334]	 Train Acc [89.59]	 Train Time [32.92]
Round [45/200]	 Train Loss [0.3104]	 Train Acc [90.51]	 Train Time [23.74]
Round [46/200]	 Train Loss [0.3221]	 Train Acc [90.06]	 Train Time [31.54]
Round [47/200]	 Train Loss [0.2881]	 Train Acc [91.08]	 Train Time [31.66]
Round [48/200]	 Train Loss [0.3134]	 Train Acc [90.20]	 Train Time [26.13]
Round [49/200]	 Train Loss [0.3225]	 Train Acc [89.97]	 Train Time [40.99]
Round [50/200]	 Train Loss [0.3062]	 Train Acc [90.43]	 Train Time [36.24]
Round [51/200]	 Train Loss [0.3139]	 Train Acc [90.17]	 Train Time [41.82]
Round [52/200]	 Train Loss [0.3038]	 Train Acc [90.59]	 Train Time [44.58]
Round [53/200]	 Train Loss [0.3003]	 Train Acc [90.76]	 Train Time [31.83]
Round [54/200]	 Train Loss [0.2855]	 Train Acc [91.18]	 Train Time [30.04]
Round [55/200]	 Train Loss [0.2626]	 Train Acc [91.94]	 Train Time [23.95]
Round [56/200]	 Train Loss [0.2986]	 Train Acc [90.80]	 Train Time [32.55]
Round [57/200]	 Train Loss [0.2969]	 Train Acc [90.77]	 Train Time [29.97]
Round [58/200]	 Train Loss [0.2917]	 Train Acc [90.91]	 Train Time [29.99]
Round [59/200]	 Train Loss [0.2754]	 Train Acc [91.43]	 Train Time [32.40]
Round [60/200]	 Train Loss [0.3099]	 Train Acc [90.64]	 Test Loss [2.3296|0.6706]	 Test Acc [8.75(14.75)|79.25(9.20)]	 Train Time [21.68]
Round [61/200]	 Train Loss [0.2852]	 Train Acc [91.21]	 Train Time [25.17]
Round [62/200]	 Train Loss [0.2769]	 Train Acc [91.49]	 Train Time [35.19]
Round [63/200]	 Train Loss [0.2748]	 Train Acc [91.50]	 Train Time [30.83]
Round [64/200]	 Train Loss [0.2808]	 Train Acc [91.27]	 Train Time [30.24]
Round [65/200]	 Train Loss [0.2733]	 Train Acc [91.76]	 Train Time [29.13]
Round [66/200]	 Train Loss [0.2626]	 Train Acc [91.91]	 Train Time [35.55]
Round [67/200]	 Train Loss [0.2650]	 Train Acc [91.81]	 Train Time [36.13]
Round [68/200]	 Train Loss [0.2642]	 Train Acc [91.95]	 Train Time [31.25]
Round [69/200]	 Train Loss [0.2750]	 Train Acc [91.55]	 Train Time [23.59]
Round [70/200]	 Train Loss [0.2595]	 Train Acc [92.05]	 Train Time [27.91]
Round [71/200]	 Train Loss [0.2461]	 Train Acc [92.32]	 Train Time [37.45]
Round [72/200]	 Train Loss [0.2477]	 Train Acc [92.36]	 Train Time [26.89]
Round [73/200]	 Train Loss [0.2608]	 Train Acc [92.07]	 Train Time [33.14]
Round [74/200]	 Train Loss [0.2479]	 Train Acc [92.26]	 Train Time [27.05]
Round [75/200]	 Train Loss [0.2698]	 Train Acc [91.69]	 Train Time [30.11]
Round [76/200]	 Train Loss [0.2453]	 Train Acc [92.29]	 Train Time [33.67]
Round [77/200]	 Train Loss [0.2412]	 Train Acc [92.48]	 Train Time [30.22]
Round [78/200]	 Train Loss [0.2546]	 Train Acc [92.02]	 Train Time [36.10]
Round [79/200]	 Train Loss [0.2374]	 Train Acc [92.73]	 Train Time [40.13]
Round [80/200]	 Train Loss [0.2426]	 Train Acc [92.52]	 Test Loss [2.3239|0.6487]	 Test Acc [8.75(14.75)|80.37(8.13)]	 Train Time [40.13]
Round [81/200]	 Train Loss [0.2411]	 Train Acc [92.61]	 Train Time [29.08]
Round [82/200]	 Train Loss [0.2533]	 Train Acc [92.31]	 Train Time [25.83]
Round [83/200]	 Train Loss [0.2209]	 Train Acc [93.09]	 Train Time [33.93]
Round [84/200]	 Train Loss [0.2270]	 Train Acc [92.98]	 Train Time [30.82]
Round [85/200]	 Train Loss [0.2622]	 Train Acc [91.97]	 Train Time [23.40]
Round [86/200]	 Train Loss [0.2495]	 Train Acc [92.23]	 Train Time [33.31]
Round [87/200]	 Train Loss [0.2446]	 Train Acc [92.62]	 Train Time [29.86]
Round [88/200]	 Train Loss [0.2345]	 Train Acc [92.81]	 Train Time [30.17]
Round [89/200]	 Train Loss [0.2342]	 Train Acc [92.84]	 Train Time [28.42]
Round [90/200]	 Train Loss [0.2337]	 Train Acc [92.86]	 Train Time [32.01]
Round [91/200]	 Train Loss [0.2258]	 Train Acc [93.12]	 Train Time [33.95]
Round [92/200]	 Train Loss [0.2454]	 Train Acc [92.51]	 Train Time [23.47]
Round [93/200]	 Train Loss [0.2313]	 Train Acc [92.94]	 Train Time [30.55]
Round [94/200]	 Train Loss [0.2289]	 Train Acc [92.98]	 Train Time [39.12]
Round [95/200]	 Train Loss [0.2136]	 Train Acc [93.37]	 Train Time [34.54]
Round [96/200]	 Train Loss [0.2419]	 Train Acc [92.58]	 Train Time [38.29]
Round [97/200]	 Train Loss [0.2268]	 Train Acc [93.09]	 Train Time [34.31]
Round [98/200]	 Train Loss [0.2232]	 Train Acc [93.20]	 Train Time [33.81]
Round [99/200]	 Train Loss [0.2118]	 Train Acc [93.42]	 Train Time [30.06]
Round [100/200]	 Train Loss [0.2370]	 Train Acc [92.79]	 Test Loss [2.3431|0.6334]	 Test Acc [10.06(11.30)|80.43(8.87)]	 Train Time [37.80]
Round [101/200]	 Train Loss [0.2080]	 Train Acc [93.60]	 Train Time [45.65]
Round [102/200]	 Train Loss [0.2028]	 Train Acc [93.83]	 Train Time [34.15]
Round [103/200]	 Train Loss [0.2079]	 Train Acc [93.71]	 Train Time [38.04]
Round [104/200]	 Train Loss [0.2213]	 Train Acc [93.18]	 Train Time [39.50]
Round [105/200]	 Train Loss [0.1971]	 Train Acc [93.88]	 Train Time [28.81]
Round [106/200]	 Train Loss [0.2263]	 Train Acc [93.18]	 Train Time [36.93]
Round [107/200]	 Train Loss [0.2158]	 Train Acc [93.31]	 Train Time [39.12]
Round [108/200]	 Train Loss [0.2122]	 Train Acc [93.55]	 Train Time [29.80]
Round [109/200]	 Train Loss [0.1993]	 Train Acc [93.96]	 Train Time [31.59]
Round [110/200]	 Train Loss [0.2068]	 Train Acc [93.77]	 Train Time [29.79]
Round [111/200]	 Train Loss [0.2240]	 Train Acc [93.17]	 Train Time [22.27]
Round [112/200]	 Train Loss [0.2203]	 Train Acc [93.28]	 Train Time [30.55]
Round [113/200]	 Train Loss [0.2000]	 Train Acc [93.91]	 Train Time [31.22]
Round [114/200]	 Train Loss [0.2076]	 Train Acc [93.72]	 Train Time [33.47]
Round [115/200]	 Train Loss [0.2025]	 Train Acc [93.76]	 Train Time [36.65]
Round [116/200]	 Train Loss [0.1939]	 Train Acc [94.11]	 Train Time [37.11]
Round [117/200]	 Train Loss [0.2164]	 Train Acc [93.30]	 Train Time [25.06]
Round [118/200]	 Train Loss [0.2255]	 Train Acc [93.13]	 Train Time [32.29]
Round [119/200]	 Train Loss [0.2112]	 Train Acc [93.55]	 Train Time [43.55]
Round [120/200]	 Train Loss [0.1815]	 Train Acc [94.34]	 Test Loss [2.3395|0.6292]	 Test Acc [8.75(14.75)|80.89(10.21)]	 Train Time [34.40]
Round [121/200]	 Train Loss [0.2063]	 Train Acc [93.77]	 Train Time [23.07]
Round [122/200]	 Train Loss [0.1935]	 Train Acc [93.96]	 Train Time [38.46]
Round [123/200]	 Train Loss [0.1925]	 Train Acc [94.25]	 Train Time [26.44]
Round [124/200]	 Train Loss [0.2142]	 Train Acc [93.47]	 Train Time [31.03]
Round [125/200]	 Train Loss [0.1893]	 Train Acc [94.22]	 Train Time [42.03]
Round [126/200]	 Train Loss [0.1826]	 Train Acc [94.42]	 Train Time [36.48]
Round [127/200]	 Train Loss [0.2130]	 Train Acc [93.49]	 Train Time [27.71]
Round [128/200]	 Train Loss [0.1890]	 Train Acc [94.27]	 Train Time [39.24]
Round [129/200]	 Train Loss [0.2000]	 Train Acc [93.95]	 Train Time [34.80]
Round [130/200]	 Train Loss [0.2102]	 Train Acc [93.51]	 Train Time [26.31]
Round [131/200]	 Train Loss [0.1906]	 Train Acc [94.16]	 Train Time [33.73]
Round [132/200]	 Train Loss [0.1825]	 Train Acc [94.42]	 Train Time [32.59]
Round [133/200]	 Train Loss [0.1854]	 Train Acc [94.45]	 Train Time [32.83]
Round [134/200]	 Train Loss [0.1862]	 Train Acc [94.26]	 Train Time [32.92]
Round [135/200]	 Train Loss [0.2019]	 Train Acc [93.94]	 Train Time [31.29]
Round [136/200]	 Train Loss [0.1843]	 Train Acc [94.38]	 Train Time [34.33]
Round [137/200]	 Train Loss [0.1954]	 Train Acc [94.08]	 Train Time [33.89]
Round [138/200]	 Train Loss [0.1927]	 Train Acc [94.08]	 Train Time [26.94]
Round [139/200]	 Train Loss [0.2016]	 Train Acc [93.71]	 Train Time [32.93]
Round [140/200]	 Train Loss [0.1819]	 Train Acc [94.59]	 Test Loss [2.3339|0.6155]	 Test Acc [10.36(16.45)|81.48(10.24)]	 Train Time [29.05]
Round [141/200]	 Train Loss [0.1898]	 Train Acc [94.20]	 Train Time [34.93]
Round [142/200]	 Train Loss [0.1767]	 Train Acc [94.72]	 Train Time [32.14]
Round [143/200]	 Train Loss [0.1819]	 Train Acc [94.55]	 Train Time [35.24]
Round [144/200]	 Train Loss [0.1914]	 Train Acc [94.20]	 Train Time [28.89]
Round [145/200]	 Train Loss [0.1826]	 Train Acc [94.53]	 Train Time [39.45]
Round [146/200]	 Train Loss [0.1802]	 Train Acc [94.51]	 Train Time [36.60]
Round [147/200]	 Train Loss [0.1894]	 Train Acc [94.29]	 Train Time [36.40]
Round [148/200]	 Train Loss [0.1706]	 Train Acc [94.78]	 Train Time [36.56]
Round [149/200]	 Train Loss [0.1778]	 Train Acc [94.60]	 Train Time [40.35]
Round [150/200]	 Train Loss [0.1735]	 Train Acc [94.74]	 Train Time [31.19]
Round [151/200]	 Train Loss [0.1713]	 Train Acc [94.70]	 Train Time [30.79]
Round [152/200]	 Train Loss [0.1664]	 Train Acc [94.89]	 Train Time [35.68]
Round [153/200]	 Train Loss [0.1651]	 Train Acc [94.93]	 Train Time [33.21]
Round [154/200]	 Train Loss [0.1804]	 Train Acc [94.45]	 Train Time [30.55]
Round [155/200]	 Train Loss [0.1773]	 Train Acc [94.46]	 Train Time [30.63]
Round [156/200]	 Train Loss [0.1707]	 Train Acc [94.73]	 Train Time [34.85]
Round [157/200]	 Train Loss [0.1759]	 Train Acc [94.57]	 Train Time [36.22]
Round [158/200]	 Train Loss [0.1643]	 Train Acc [94.84]	 Train Time [24.61]
Round [159/200]	 Train Loss [0.1766]	 Train Acc [94.57]	 Train Time [31.46]
Round [160/200]	 Train Loss [0.1936]	 Train Acc [94.07]	 Test Loss [2.3774|0.6652]	 Test Acc [8.75(14.75)|81.15(9.99)]	 Train Time [29.25]
Round [161/200]	 Train Loss [0.1868]	 Train Acc [94.28]	 Train Time [32.78]
Round [162/200]	 Train Loss [0.1813]	 Train Acc [94.61]	 Train Time [30.27]
Round [163/200]	 Train Loss [0.1668]	 Train Acc [94.94]	 Train Time [31.08]
Round [164/200]	 Train Loss [0.1844]	 Train Acc [94.32]	 Train Time [44.38]
Round [165/200]	 Train Loss [0.1569]	 Train Acc [95.18]	 Train Time [27.71]
Round [166/200]	 Train Loss [0.1593]	 Train Acc [95.16]	 Train Time [28.49]
Round [167/200]	 Train Loss [0.1652]	 Train Acc [94.95]	 Train Time [40.73]
Round [168/200]	 Train Loss [0.1715]	 Train Acc [94.73]	 Train Time [30.93]
Round [169/200]	 Train Loss [0.1630]	 Train Acc [95.01]	 Train Time [33.36]
Round [170/200]	 Train Loss [0.1510]	 Train Acc [95.31]	 Train Time [30.94]
Round [171/200]	 Train Loss [0.1607]	 Train Acc [95.10]	 Train Time [34.56]
Round [172/200]	 Train Loss [0.1650]	 Train Acc [94.99]	 Train Time [28.03]
Round [173/200]	 Train Loss [0.1764]	 Train Acc [94.62]	 Train Time [37.57]
Round [174/200]	 Train Loss [0.1749]	 Train Acc [94.76]	 Train Time [28.27]
Round [175/200]	 Train Loss [0.1592]	 Train Acc [95.06]	 Train Time [31.75]
Round [176/200]	 Train Loss [0.1626]	 Train Acc [95.05]	 Train Time [27.11]
Round [177/200]	 Train Loss [0.1725]	 Train Acc [94.76]	 Train Time [29.69]
Round [178/200]	 Train Loss [0.1571]	 Train Acc [95.21]	 Train Time [34.00]
Round [179/200]	 Train Loss [0.1626]	 Train Acc [95.08]	 Train Time [38.23]
Round [180/200]	 Train Loss [0.1628]	 Train Acc [95.07]	 Test Loss [2.3724|0.6268]	 Test Acc [10.55(16.56)|81.38(10.78)]	 Train Time [36.80]
Round [181/200]	 Train Loss [0.1602]	 Train Acc [95.04]	 Train Time [28.92]
Round [182/200]	 Train Loss [0.1557]	 Train Acc [95.19]	 Train Time [35.27]
Round [183/200]	 Train Loss [0.1543]	 Train Acc [95.37]	 Train Time [33.26]
Round [184/200]	 Train Loss [0.1611]	 Train Acc [95.15]	 Train Time [41.18]
Round [185/200]	 Train Loss [0.1603]	 Train Acc [95.15]	 Train Time [34.18]
