Training pFedFDA with model cifarnet on cifar100 for 100 clients.
Hyperparameters: LR=0.01, WD=0.0005, Local Epochs=5, Global Rounds=200
Round [1/200]	 Train Loss [4.5283]	 Train Acc [9.56]	 Train Time [32.26]
Round [2/200]	 Train Loss [3.5630]	 Train Acc [14.93]	 Train Time [40.20]
Round [3/200]	 Train Loss [3.3079]	 Train Acc [19.83]	 Train Time [39.91]
Round [4/200]	 Train Loss [3.0442]	 Train Acc [24.78]	 Train Time [47.65]
Round [5/200]	 Train Loss [2.8345]	 Train Acc [28.37]	 Train Time [34.45]
Round [6/200]	 Train Loss [2.6938]	 Train Acc [31.50]	 Train Time [51.60]
Round [7/200]	 Train Loss [2.5536]	 Train Acc [34.32]	 Train Time [34.83]
Round [8/200]	 Train Loss [2.4389]	 Train Acc [37.06]	 Train Time [51.70]
Round [9/200]	 Train Loss [2.2879]	 Train Acc [40.40]	 Train Time [40.25]
Round [10/200]	 Train Loss [2.2104]	 Train Acc [42.53]	 Train Time [38.00]
Round [11/200]	 Train Loss [2.0557]	 Train Acc [45.64]	 Train Time [37.44]
Round [12/200]	 Train Loss [2.0383]	 Train Acc [46.60]	 Train Time [30.43]
Round [13/200]	 Train Loss [1.8840]	 Train Acc [50.11]	 Train Time [35.38]
Round [14/200]	 Train Loss [1.7925]	 Train Acc [52.34]	 Train Time [49.77]
Round [15/200]	 Train Loss [1.7424]	 Train Acc [53.52]	 Train Time [34.94]
Round [16/200]	 Train Loss [1.6901]	 Train Acc [55.50]	 Train Time [26.50]
Round [17/200]	 Train Loss [1.6136]	 Train Acc [57.09]	 Train Time [27.74]
Round [18/200]	 Train Loss [1.5610]	 Train Acc [58.10]	 Train Time [36.38]
Round [19/200]	 Train Loss [1.5181]	 Train Acc [59.34]	 Train Time [28.64]
Round [20/200]	 Train Loss [1.4931]	 Train Acc [59.88]	 Train Time [35.64]
Round [21/200]	 Train Loss [1.4252]	 Train Acc [61.56]	 Train Time [31.02]
Round [22/200]	 Train Loss [1.4138]	 Train Acc [61.99]	 Train Time [36.48]
Round [23/200]	 Train Loss [1.3361]	 Train Acc [63.59]	 Train Time [26.40]
Round [24/200]	 Train Loss [1.3489]	 Train Acc [63.86]	 Train Time [37.75]
Round [25/200]	 Train Loss [1.3047]	 Train Acc [65.17]	 Train Time [47.07]
Round [26/200]	 Train Loss [1.2832]	 Train Acc [65.51]	 Train Time [50.28]
Round [27/200]	 Train Loss [1.2466]	 Train Acc [66.52]	 Train Time [31.00]
Round [28/200]	 Train Loss [1.2113]	 Train Acc [67.33]	 Train Time [32.11]
Round [29/200]	 Train Loss [1.2197]	 Train Acc [67.22]	 Train Time [50.21]
Round [30/200]	 Train Loss [1.2039]	 Train Acc [67.35]	 Train Time [33.35]
Round [31/200]	 Train Loss [1.1362]	 Train Acc [69.35]	 Train Time [51.72]
Round [32/200]	 Train Loss [1.0927]	 Train Acc [70.32]	 Train Time [42.77]
Round [33/200]	 Train Loss [1.1135]	 Train Acc [69.82]	 Train Time [43.14]
Round [34/200]	 Train Loss [1.0811]	 Train Acc [70.69]	 Train Time [39.24]
Round [35/200]	 Train Loss [1.0831]	 Train Acc [70.76]	 Train Time [36.17]
Round [36/200]	 Train Loss [1.0606]	 Train Acc [71.21]	 Train Time [46.74]
Round [37/200]	 Train Loss [1.0369]	 Train Acc [72.08]	 Train Time [37.41]
Round [38/200]	 Train Loss [1.0479]	 Train Acc [71.67]	 Train Time [47.95]
Round [39/200]	 Train Loss [1.0438]	 Train Acc [71.91]	 Train Time [36.64]
Round [40/200]	 Train Loss [1.0251]	 Train Acc [72.36]	 Train Time [42.17]
Round [41/200]	 Train Loss [1.0044]	 Train Acc [72.63]	 Train Time [26.91]
Round [42/200]	 Train Loss [1.0022]	 Train Acc [72.73]	 Train Time [47.84]
Round [43/200]	 Train Loss [0.9712]	 Train Acc [73.55]	 Train Time [39.58]
Round [44/200]	 Train Loss [0.9249]	 Train Acc [74.82]	 Train Time [31.03]
Round [45/200]	 Train Loss [0.9266]	 Train Acc [74.57]	 Train Time [29.90]
