Training FedAvg with model cifaredl on cifar10 for 100 clients.
Hyperparameters: LR=0.01, WD=0.0005, Local Epochs=5, Global Rounds=200
Round [1/200]	 Train Loss [1.3576]	 Train Acc [53.04%]	 Time [43.26s]
Round [2/200]	 Train Loss [1.1916]	 Train Acc [58.95%]	 Time [42.73s]
Round [3/200]	 Train Loss [1.0728]	 Train Acc [62.54%]	 Time [39.30s]
Round [4/200]	 Train Loss [1.0268]	 Train Acc [64.76%]	 Time [35.85s]
Round [5/200]	 Train Loss [0.9006]	 Train Acc [69.15%]	 Time [26.40s]
Round [6/200]	 Train Loss [0.7944]	 Train Acc [73.03%]	 Time [36.54s]
Round [7/200]	 Train Loss [0.8376]	 Train Acc [71.67%]	 Time [30.88s]
Round [8/200]	 Train Loss [0.8182]	 Train Acc [72.44%]	 Time [29.21s]
Round [9/200]	 Train Loss [0.7013]	 Train Acc [76.36%]	 Time [23.01s]
Round [10/200]	 Train Loss [0.6741]	 Train Acc [77.48%]	 Time [39.15s]
Round [11/200]	 Train Loss [0.6254]	 Train Acc [79.13%]	 Time [19.80s]
Round [12/200]	 Train Loss [0.6312]	 Train Acc [79.06%]	 Time [49.32s]
Round [13/200]	 Train Loss [0.6035]	 Train Acc [79.97%]	 Time [32.94s]
Round [14/200]	 Train Loss [0.5557]	 Train Acc [81.72%]	 Time [47.59s]
Round [15/200]	 Train Loss [0.5246]	 Train Acc [82.67%]	 Time [33.70s]
Round [16/200]	 Train Loss [0.5041]	 Train Acc [83.69%]	 Time [32.80s]
Round [17/200]	 Train Loss [0.5237]	 Train Acc [83.09%]	 Time [37.58s]
Round [18/200]	 Train Loss [0.5221]	 Train Acc [83.09%]	 Time [33.17s]
Round [19/200]	 Train Loss [0.4858]	 Train Acc [84.42%]	 Time [35.89s]
Round [20/200]	 Train Loss [0.4808]	 Train Acc [84.66%]	 Time [32.54s]
Round [21/200]	 Train Loss [0.4740]	 Train Acc [84.83%]	 Time [38.10s]
Round [22/200]	 Train Loss [0.4553]	 Train Acc [85.27%]	 Time [27.18s]
Round [23/200]	 Train Loss [0.4691]	 Train Acc [85.20%]	 Time [21.58s]
Round [24/200]	 Train Loss [0.4275]	 Train Acc [86.44%]	 Time [27.38s]
Round [25/200]	 Train Loss [0.4133]	 Train Acc [86.89%]	 Time [33.91s]
Round [26/200]	 Train Loss [0.4164]	 Train Acc [86.86%]	 Time [28.02s]
Round [27/200]	 Train Loss [0.4363]	 Train Acc [86.15%]	 Time [31.06s]
Round [28/200]	 Train Loss [0.4021]	 Train Acc [87.49%]	 Time [32.07s]
Round [29/200]	 Train Loss [0.3981]	 Train Acc [87.49%]	 Time [32.15s]
Round [30/200]	 Train Loss [0.4130]	 Train Acc [87.04%]	 Time [25.25s]
Round [31/200]	 Train Loss [0.3903]	 Train Acc [87.79%]	 Time [29.77s]
Round [32/200]	 Train Loss [0.3360]	 Train Acc [89.54%]	 Time [24.35s]
Round [33/200]	 Train Loss [0.3598]	 Train Acc [88.82%]	 Time [30.49s]
Round [34/200]	 Train Loss [0.3732]	 Train Acc [88.28%]	 Time [30.73s]
Round [35/200]	 Train Loss [0.3779]	 Train Acc [88.22%]	 Time [27.23s]
Round [36/200]	 Train Loss [0.3634]	 Train Acc [88.61%]	 Time [36.64s]
Round [37/200]	 Train Loss [0.3625]	 Train Acc [88.57%]	 Time [31.81s]
Round [38/200]	 Train Loss [0.3552]	 Train Acc [88.88%]	 Time [37.08s]
Round [39/200]	 Train Loss [0.3437]	 Train Acc [89.43%]	 Time [34.72s]
Round [40/200]	 Train Loss [0.3531]	 Train Acc [88.99%]	 Time [34.84s]
Round [41/200]	 Train Loss [0.3339]	 Train Acc [89.62%]	 Time [33.38s]
Round [42/200]	 Train Loss [0.3428]	 Train Acc [89.28%]	 Time [21.00s]
Round [43/200]	 Train Loss [0.3371]	 Train Acc [89.42%]	 Time [40.89s]
Round [44/200]	 Train Loss [0.3096]	 Train Acc [90.27%]	 Time [31.00s]
Round [45/200]	 Train Loss [0.3139]	 Train Acc [90.27%]	 Time [33.27s]
Round [46/200]	 Train Loss [0.3070]	 Train Acc [90.34%]	 Time [28.53s]
Round [47/200]	 Train Loss [0.3227]	 Train Acc [89.97%]	 Time [43.90s]
Round [48/200]	 Train Loss [0.2993]	 Train Acc [90.66%]	 Time [29.46s]
Round [49/200]	 Train Loss [0.3190]	 Train Acc [90.11%]	 Time [32.68s]
Round [50/200]	 Train Loss [0.3143]	 Train Acc [90.27%]	 Time [41.20s]
Round [51/200]	 Train Loss [0.2851]	 Train Acc [91.12%]	 Time [32.96s]
Round [52/200]	 Train Loss [0.2938]	 Train Acc [90.87%]	 Time [37.24s]
Round [53/200]	 Train Loss [0.2912]	 Train Acc [90.99%]	 Time [31.29s]
Round [54/200]	 Train Loss [0.3189]	 Train Acc [90.17%]	 Time [26.14s]
Round [55/200]	 Train Loss [0.2866]	 Train Acc [91.07%]	 Time [29.59s]
Round [56/200]	 Train Loss [0.2894]	 Train Acc [91.11%]	 Time [22.11s]
Round [57/200]	 Train Loss [0.2954]	 Train Acc [90.85%]	 Time [28.17s]
Round [58/200]	 Train Loss [0.2857]	 Train Acc [91.10%]	 Time [36.24s]
Round [59/200]	 Train Loss [0.2715]	 Train Acc [91.65%]	 Time [28.38s]
Round [60/200]	 Train Loss [0.2830]	 Train Acc [91.38%]	 Time [34.94s]
Round [61/200]	 Train Loss [0.2818]	 Train Acc [91.28%]	 Time [34.39s]
Round [62/200]	 Train Loss [0.2857]	 Train Acc [91.22%]	 Time [36.51s]
Round [63/200]	 Train Loss [0.2887]	 Train Acc [91.41%]	 Time [26.65s]
Round [64/200]	 Train Loss [0.2623]	 Train Acc [91.84%]	 Time [24.48s]
Round [65/200]	 Train Loss [0.2690]	 Train Acc [91.69%]	 Time [33.20s]
Round [66/200]	 Train Loss [0.2821]	 Train Acc [91.18%]	 Time [31.75s]
Round [67/200]	 Train Loss [0.2614]	 Train Acc [91.98%]	 Time [28.70s]
Round [68/200]	 Train Loss [0.2867]	 Train Acc [91.26%]	 Time [28.85s]
Round [69/200]	 Train Loss [0.2476]	 Train Acc [92.44%]	 Time [32.38s]
Round [70/200]	 Train Loss [0.2705]	 Train Acc [91.72%]	 Time [32.12s]
Round [71/200]	 Train Loss [0.2675]	 Train Acc [91.84%]	 Time [28.88s]
Round [72/200]	 Train Loss [0.2471]	 Train Acc [92.33%]	 Time [26.63s]
Round [73/200]	 Train Loss [0.2517]	 Train Acc [92.26%]	 Time [30.07s]
Round [74/200]	 Train Loss [0.2550]	 Train Acc [92.10%]	 Time [35.47s]
Round [75/200]	 Train Loss [0.2649]	 Train Acc [91.82%]	 Time [32.38s]
Round [76/200]	 Train Loss [0.2474]	 Train Acc [92.45%]	 Time [29.30s]
Round [77/200]	 Train Loss [0.2365]	 Train Acc [92.73%]	 Time [26.44s]
Round [78/200]	 Train Loss [0.2453]	 Train Acc [92.50%]	 Time [29.83s]
Round [79/200]	 Train Loss [0.2479]	 Train Acc [92.41%]	 Time [35.81s]
Round [80/200]	 Train Loss [0.2410]	 Train Acc [92.63%]	 Time [28.16s]
Round [81/200]	 Train Loss [0.2487]	 Train Acc [92.35%]	 Time [41.15s]
Round [82/200]	 Train Loss [0.2500]	 Train Acc [92.26%]	 Time [29.79s]
Round [83/200]	 Train Loss [0.2290]	 Train Acc [93.10%]	 Time [32.41s]
Round [84/200]	 Train Loss [0.2378]	 Train Acc [92.67%]	 Time [36.02s]
Round [85/200]	 Train Loss [0.2395]	 Train Acc [92.59%]	 Time [26.65s]
Round [86/200]	 Train Loss [0.2534]	 Train Acc [92.16%]	 Time [41.62s]
Round [87/200]	 Train Loss [0.2347]	 Train Acc [92.90%]	 Time [27.90s]
Round [88/200]	 Train Loss [0.2276]	 Train Acc [92.95%]	 Time [26.31s]
Round [89/200]	 Train Loss [0.2362]	 Train Acc [92.76%]	 Time [31.46s]
Round [90/200]	 Train Loss [0.2281]	 Train Acc [93.00%]	 Time [33.07s]
Round [91/200]	 Train Loss [0.2392]	 Train Acc [92.71%]	 Time [33.95s]
Round [92/200]	 Train Loss [0.2366]	 Train Acc [92.78%]	 Time [31.12s]
Round [93/200]	 Train Loss [0.2371]	 Train Acc [92.72%]	 Time [36.13s]
Round [94/200]	 Train Loss [0.2156]	 Train Acc [93.45%]	 Time [44.86s]
Round [95/200]	 Train Loss [0.2232]	 Train Acc [93.07%]	 Time [33.05s]
Round [96/200]	 Train Loss [0.2108]	 Train Acc [93.53%]	 Time [45.24s]
Round [97/200]	 Train Loss [0.2112]	 Train Acc [93.58%]	 Time [29.27s]
Round [98/200]	 Train Loss [0.2272]	 Train Acc [93.04%]	 Time [37.46s]
Round [99/200]	 Train Loss [0.2286]	 Train Acc [92.96%]	 Time [33.97s]
Round [100/200]	 Train Loss [0.2151]	 Train Acc [93.31%]	 Time [28.11s]
Round [101/200]	 Train Loss [0.2226]	 Train Acc [93.11%]	 Time [27.72s]
Round [102/200]	 Train Loss [0.2247]	 Train Acc [93.02%]	 Time [39.26s]
Round [103/200]	 Train Loss [0.2238]	 Train Acc [93.20%]	 Time [32.96s]
Round [104/200]	 Train Loss [0.2208]	 Train Acc [93.20%]	 Time [29.70s]
Round [105/200]	 Train Loss [0.2169]	 Train Acc [93.28%]	 Time [32.37s]
Round [106/200]	 Train Loss [0.2126]	 Train Acc [93.58%]	 Time [37.32s]
Round [107/200]	 Train Loss [0.2274]	 Train Acc [93.19%]	 Time [24.61s]
Round [108/200]	 Train Loss [0.1987]	 Train Acc [94.01%]	 Time [28.14s]
Round [109/200]	 Train Loss [0.2027]	 Train Acc [93.68%]	 Time [39.80s]
Round [110/200]	 Train Loss [0.2107]	 Train Acc [93.64%]	 Time [34.27s]
Round [111/200]	 Train Loss [0.2200]	 Train Acc [93.31%]	 Time [27.18s]
Round [112/200]	 Train Loss [0.2039]	 Train Acc [93.89%]	 Time [32.32s]
Round [113/200]	 Train Loss [0.1885]	 Train Acc [94.27%]	 Time [29.88s]
Round [114/200]	 Train Loss [0.2057]	 Train Acc [93.67%]	 Time [24.52s]
Round [115/200]	 Train Loss [0.2185]	 Train Acc [93.39%]	 Time [34.15s]
Round [116/200]	 Train Loss [0.1961]	 Train Acc [93.97%]	 Time [34.82s]
Round [117/200]	 Train Loss [0.1908]	 Train Acc [94.14%]	 Time [30.66s]
Round [118/200]	 Train Loss [0.2213]	 Train Acc [93.24%]	 Time [29.51s]
Round [119/200]	 Train Loss [0.2046]	 Train Acc [93.77%]	 Time [37.35s]
Round [120/200]	 Train Loss [0.2042]	 Train Acc [93.74%]	 Time [40.69s]
Round [121/200]	 Train Loss [0.2060]	 Train Acc [93.73%]	 Time [25.13s]
Round [122/200]	 Train Loss [0.2100]	 Train Acc [93.64%]	 Time [19.82s]
Round [123/200]	 Train Loss [0.2025]	 Train Acc [93.88%]	 Time [35.61s]
Round [124/200]	 Train Loss [0.1981]	 Train Acc [93.89%]	 Time [30.33s]
Round [125/200]	 Train Loss [0.1951]	 Train Acc [94.06%]	 Time [30.60s]
Round [126/200]	 Train Loss [0.1933]	 Train Acc [94.02%]	 Time [34.51s]
Round [127/200]	 Train Loss [0.1997]	 Train Acc [93.85%]	 Time [25.44s]
Round [128/200]	 Train Loss [0.1887]	 Train Acc [94.37%]	 Time [24.79s]
Round [129/200]	 Train Loss [0.1968]	 Train Acc [94.00%]	 Time [34.02s]
Round [130/200]	 Train Loss [0.1998]	 Train Acc [93.84%]	 Time [27.62s]
Round [131/200]	 Train Loss [0.1973]	 Train Acc [94.01%]	 Time [27.36s]
Round [132/200]	 Train Loss [0.2023]	 Train Acc [93.78%]	 Time [22.14s]
Round [133/200]	 Train Loss [0.1993]	 Train Acc [93.91%]	 Time [24.62s]
Round [134/200]	 Train Loss [0.1970]	 Train Acc [94.07%]	 Time [27.59s]
Round [135/200]	 Train Loss [0.1829]	 Train Acc [94.46%]	 Time [35.61s]
Round [136/200]	 Train Loss [0.1893]	 Train Acc [94.23%]	 Time [31.42s]
Round [137/200]	 Train Loss [0.2000]	 Train Acc [93.87%]	 Time [29.16s]
Round [138/200]	 Train Loss [0.2016]	 Train Acc [93.88%]	 Time [37.64s]
Round [139/200]	 Train Loss [0.1872]	 Train Acc [94.35%]	 Time [28.24s]
Round [140/200]	 Train Loss [0.1870]	 Train Acc [94.31%]	 Time [37.30s]
Round [141/200]	 Train Loss [0.1761]	 Train Acc [94.58%]	 Time [29.83s]
Round [142/200]	 Train Loss [0.1936]	 Train Acc [94.11%]	 Time [27.13s]
Round [143/200]	 Train Loss [0.1867]	 Train Acc [94.34%]	 Time [29.23s]
Round [144/200]	 Train Loss [0.1924]	 Train Acc [94.06%]	 Time [30.79s]
Round [145/200]	 Train Loss [0.1940]	 Train Acc [94.05%]	 Time [35.61s]
Round [146/200]	 Train Loss [0.1831]	 Train Acc [94.30%]	 Time [31.56s]
Round [147/200]	 Train Loss [0.1770]	 Train Acc [94.63%]	 Time [33.28s]
Round [148/200]	 Train Loss [0.1879]	 Train Acc [94.26%]	 Time [32.87s]
Round [149/200]	 Train Loss [0.1582]	 Train Acc [95.05%]	 Time [25.52s]
Round [150/200]	 Train Loss [0.1774]	 Train Acc [94.56%]	 Time [36.46s]
Round [151/200]	 Train Loss [0.1813]	 Train Acc [94.40%]	 Time [25.99s]
Round [152/200]	 Train Loss [0.1724]	 Train Acc [94.76%]	 Time [32.91s]
Round [153/200]	 Train Loss [0.1795]	 Train Acc [94.55%]	 Time [25.56s]
Round [154/200]	 Train Loss [0.1754]	 Train Acc [94.60%]	 Time [28.97s]
Round [155/200]	 Train Loss [0.1800]	 Train Acc [94.38%]	 Time [19.82s]
Round [156/200]	 Train Loss [0.1811]	 Train Acc [94.37%]	 Time [30.86s]
Round [157/200]	 Train Loss [0.1812]	 Train Acc [94.52%]	 Time [24.06s]
Round [158/200]	 Train Loss [0.1805]	 Train Acc [94.36%]	 Time [24.10s]
Round [159/200]	 Train Loss [0.1814]	 Train Acc [94.39%]	 Time [27.65s]
Round [160/200]	 Train Loss [0.1793]	 Train Acc [94.63%]	 Time [29.38s]
Round [161/200]	 Train Loss [0.1656]	 Train Acc [94.96%]	 Time [30.61s]
Round [162/200]	 Train Loss [0.1751]	 Train Acc [94.56%]	 Time [34.57s]
Round [163/200]	 Train Loss [0.1696]	 Train Acc [94.80%]	 Time [35.71s]
Round [164/200]	 Train Loss [0.1676]	 Train Acc [94.88%]	 Time [32.47s]
Round [165/200]	 Train Loss [0.1624]	 Train Acc [95.04%]	 Time [32.59s]
Round [166/200]	 Train Loss [0.1726]	 Train Acc [94.80%]	 Time [31.40s]
Round [167/200]	 Train Loss [0.1604]	 Train Acc [95.19%]	 Time [26.27s]
Round [168/200]	 Train Loss [0.1705]	 Train Acc [94.91%]	 Time [34.54s]
Round [169/200]	 Train Loss [0.1728]	 Train Acc [94.75%]	 Time [34.67s]
Round [170/200]	 Train Loss [0.1568]	 Train Acc [95.18%]	 Time [36.66s]
Round [171/200]	 Train Loss [0.1474]	 Train Acc [95.54%]	 Time [36.00s]
Round [172/200]	 Train Loss [0.1732]	 Train Acc [94.90%]	 Time [42.12s]
Round [173/200]	 Train Loss [0.1557]	 Train Acc [95.29%]	 Time [31.87s]
Round [174/200]	 Train Loss [0.1771]	 Train Acc [94.71%]	 Time [24.06s]
Round [175/200]	 Train Loss [0.1782]	 Train Acc [94.62%]	 Time [35.08s]
Round [176/200]	 Train Loss [0.1535]	 Train Acc [95.23%]	 Time [30.61s]
Round [177/200]	 Train Loss [0.1523]	 Train Acc [95.42%]	 Time [31.82s]
Round [178/200]	 Train Loss [0.1564]	 Train Acc [95.29%]	 Time [31.58s]
Round [179/200]	 Train Loss [0.1629]	 Train Acc [95.01%]	 Time [30.07s]
Round [180/200]	 Train Loss [0.1655]	 Train Acc [94.94%]	 Time [33.14s]
Round [181/200]	 Train Loss [0.1476]	 Train Acc [95.43%]	 Time [34.32s]
Round [182/200]	 Train Loss [0.1621]	 Train Acc [95.09%]	 Time [16.68s]
Round [183/200]	 Train Loss [0.1565]	 Train Acc [95.10%]	 Time [31.45s]
Round [184/200]	 Train Loss [0.1533]	 Train Acc [95.41%]	 Time [35.43s]
Round [185/200]	 Train Loss [0.1571]	 Train Acc [95.24%]	 Time [33.35s]
Round [186/200]	 Train Loss [0.1585]	 Train Acc [95.20%]	 Time [31.30s]
Round [187/200]	 Train Loss [0.1664]	 Train Acc [94.88%]	 Time [25.98s]
Round [188/200]	 Train Loss [0.1634]	 Train Acc [95.09%]	 Time [28.18s]
Round [189/200]	 Train Loss [0.1465]	 Train Acc [95.55%]	 Time [36.44s]
Round [190/200]	 Train Loss [0.1645]	 Train Acc [95.03%]	 Time [25.70s]
Round [191/200]	 Train Loss [0.1580]	 Train Acc [95.08%]	 Time [29.54s]
Round [192/200]	 Train Loss [0.1416]	 Train Acc [95.64%]	 Time [27.78s]
Round [193/200]	 Train Loss [0.1576]	 Train Acc [95.25%]	 Time [33.82s]
Round [194/200]	 Train Loss [0.1594]	 Train Acc [95.14%]	 Time [24.58s]
Round [195/200]	 Train Loss [0.1452]	 Train Acc [95.62%]	 Time [35.32s]
Round [196/200]	 Train Loss [0.1407]	 Train Acc [95.62%]	 Time [32.93s]
Round [197/200]	 Train Loss [0.1610]	 Train Acc [95.03%]	 Time [21.65s]
Round [198/200]	 Train Loss [0.1622]	 Train Acc [95.01%]	 Time [26.39s]
Round [199/200]	 Train Loss [0.1573]	 Train Acc [95.23%]	 Time [30.50s]
--- [Global Model] Round [200/200] ---
  Train Loss: 0.1587	 Train Acc: 95.20%
  Test Loss:  0.7520	 Test Acc:  74.14%
  Calibration: Brier=0.3593, ECE=0.0384
  OOD Detection: AUROC=0.6853, FPR@95TPR=0.6847
  Time: 19.99s

--- FedAvgFT: Starting Fine-tuning and Personalized Evaluation ---
--- FedAvgFT Personalized Metrics ---
  Test Loss:  0.6366	 Test Acc:  82.10%
  Calibration: Brier=0.2730, ECE=0.0830
  OOD Detection: AUROC=0.7066, FPR@95TPR=0.7555
Method took (6304.87) total seconds for all rounds.
