Training FedAvg with model cifaredl on cifar10 for 100 clients.
Hyperparameters: LR=0.01, WD=0.0005, Local Epochs=5, Global Rounds=200
Round [1/200]	 Train Loss [1.3223]	 Train Acc [54.09%]	 Time [17.42s]
Round [2/200]	 Train Loss [1.1930]	 Train Acc [59.02%]	 Time [23.20s]
Round [3/200]	 Train Loss [1.1093]	 Train Acc [62.14%]	 Time [25.10s]
Round [4/200]	 Train Loss [1.0031]	 Train Acc [65.43%]	 Time [23.02s]
Round [5/200]	 Train Loss [0.9053]	 Train Acc [69.33%]	 Time [21.67s]
Round [6/200]	 Train Loss [0.8341]	 Train Acc [71.12%]	 Time [24.60s]
Round [7/200]	 Train Loss [0.8006]	 Train Acc [72.89%]	 Time [21.50s]
Round [8/200]	 Train Loss [0.7198]	 Train Acc [75.79%]	 Time [24.04s]
Round [9/200]	 Train Loss [0.6748]	 Train Acc [77.53%]	 Time [26.41s]
Round [10/200]	 Train Loss [0.6283]	 Train Acc [79.09%]	 Time [25.72s]
Round [11/200]	 Train Loss [0.6879]	 Train Acc [77.24%]	 Time [17.43s]
Round [12/200]	 Train Loss [0.6302]	 Train Acc [79.03%]	 Time [19.53s]
Round [13/200]	 Train Loss [0.5919]	 Train Acc [80.40%]	 Time [25.70s]
Round [14/200]	 Train Loss [0.5213]	 Train Acc [82.94%]	 Time [22.02s]
Round [15/200]	 Train Loss [0.5295]	 Train Acc [82.84%]	 Time [21.22s]
Round [16/200]	 Train Loss [0.5059]	 Train Acc [83.64%]	 Time [25.87s]
Round [17/200]	 Train Loss [0.5114]	 Train Acc [83.39%]	 Time [24.48s]
Round [18/200]	 Train Loss [0.4940]	 Train Acc [84.13%]	 Time [27.84s]
Round [19/200]	 Train Loss [0.5061]	 Train Acc [83.70%]	 Time [39.58s]
Round [20/200]	 Train Loss [0.4578]	 Train Acc [85.27%]	 Time [35.25s]
Round [21/200]	 Train Loss [0.4657]	 Train Acc [85.09%]	 Time [45.62s]
