Training pFedFDA with model cifarnet on cifar10 for 100 clients.
Hyperparameters: LR=0.01, WD=0.0005, Local Epochs=5, Global Rounds=200
Round [1/200]	 Train Loss [1.6771]	 Train Acc [48.18]	 Train Time [46.57]
Round [2/200]	 Train Loss [1.3049]	 Train Acc [54.18]	 Train Time [33.77]
Round [3/200]	 Train Loss [1.0289]	 Train Acc [62.84]	 Train Time [35.22]
Round [4/200]	 Train Loss [0.9102]	 Train Acc [67.94]	 Train Time [44.43]
Round [5/200]	 Train Loss [0.9112]	 Train Acc [67.95]	 Train Time [39.26]
Round [6/200]	 Train Loss [0.8550]	 Train Acc [70.05]	 Train Time [30.32]
Round [7/200]	 Train Loss [0.7711]	 Train Acc [72.75]	 Train Time [39.74]
Round [8/200]	 Train Loss [0.7228]	 Train Acc [74.83]	 Train Time [32.09]
Round [9/200]	 Train Loss [0.6626]	 Train Acc [77.08]	 Train Time [31.57]
Round [10/200]	 Train Loss [0.6258]	 Train Acc [78.37]	 Train Time [41.52]
Round [11/200]	 Train Loss [0.6489]	 Train Acc [77.67]	 Train Time [29.34]
Round [12/200]	 Train Loss [0.5965]	 Train Acc [79.77]	 Train Time [32.00]
Round [13/200]	 Train Loss [0.4856]	 Train Acc [83.76]	 Train Time [34.64]
Round [14/200]	 Train Loss [0.5101]	 Train Acc [82.64]	 Train Time [46.75]
Round [15/200]	 Train Loss [0.4421]	 Train Acc [85.49]	 Train Time [24.48]
Round [16/200]	 Train Loss [0.4961]	 Train Acc [83.21]	 Train Time [56.88]
Round [17/200]	 Train Loss [0.4718]	 Train Acc [84.24]	 Train Time [30.60]
Round [18/200]	 Train Loss [0.4178]	 Train Acc [86.14]	 Train Time [34.35]
Round [19/200]	 Train Loss [0.4088]	 Train Acc [86.68]	 Train Time [34.24]
Round [20/200]	 Train Loss [0.3654]	 Train Acc [88.01]	 Train Time [40.21]
Round [21/200]	 Train Loss [0.4031]	 Train Acc [86.63]	 Train Time [35.72]
Round [22/200]	 Train Loss [0.3857]	 Train Acc [87.28]	 Train Time [45.27]
Round [23/200]	 Train Loss [0.3584]	 Train Acc [88.18]	 Train Time [38.95]
Round [24/200]	 Train Loss [0.3561]	 Train Acc [88.50]	 Train Time [38.92]
Round [25/200]	 Train Loss [0.3785]	 Train Acc [87.68]	 Train Time [34.97]
Round [26/200]	 Train Loss [0.3481]	 Train Acc [88.63]	 Train Time [36.26]
Round [27/200]	 Train Loss [0.3721]	 Train Acc [88.21]	 Train Time [30.72]
Round [28/200]	 Train Loss [0.3195]	 Train Acc [90.02]	 Train Time [40.54]
Round [29/200]	 Train Loss [0.3236]	 Train Acc [89.52]	 Train Time [37.59]
Round [30/200]	 Train Loss [0.3185]	 Train Acc [89.80]	 Train Time [52.33]
Round [31/200]	 Train Loss [0.3172]	 Train Acc [89.70]	 Train Time [47.47]
Round [32/200]	 Train Loss [0.3001]	 Train Acc [90.46]	 Train Time [40.19]
Round [33/200]	 Train Loss [0.3117]	 Train Acc [89.98]	 Train Time [38.05]
Round [34/200]	 Train Loss [0.3021]	 Train Acc [90.30]	 Train Time [40.90]
Round [35/200]	 Train Loss [0.2827]	 Train Acc [90.92]	 Train Time [45.77]
Round [36/200]	 Train Loss [0.3060]	 Train Acc [90.22]	 Train Time [30.05]
Round [37/200]	 Train Loss [0.2895]	 Train Acc [90.79]	 Train Time [41.83]
Round [38/200]	 Train Loss [0.2848]	 Train Acc [90.84]	 Train Time [34.29]
Round [39/200]	 Train Loss [0.2813]	 Train Acc [91.02]	 Train Time [53.31]
Round [40/200]	 Train Loss [0.2879]	 Train Acc [90.72]	 Train Time [38.68]
Round [41/200]	 Train Loss [0.2701]	 Train Acc [91.36]	 Train Time [38.81]
Round [42/200]	 Train Loss [0.2531]	 Train Acc [92.04]	 Train Time [31.86]
Round [43/200]	 Train Loss [0.2683]	 Train Acc [91.51]	 Train Time [37.30]
Round [44/200]	 Train Loss [0.2484]	 Train Acc [91.91]	 Train Time [38.05]
Round [45/200]	 Train Loss [0.2453]	 Train Acc [92.23]	 Train Time [34.00]
Round [46/200]	 Train Loss [0.2380]	 Train Acc [92.56]	 Train Time [31.27]
Round [47/200]	 Train Loss [0.2655]	 Train Acc [91.46]	 Train Time [41.07]
Round [48/200]	 Train Loss [0.2389]	 Train Acc [92.41]	 Train Time [42.05]
Round [49/200]	 Train Loss [0.2430]	 Train Acc [92.20]	 Train Time [25.67]
Round [50/200]	 Train Loss [0.2329]	 Train Acc [92.59]	 Train Time [51.20]
Round [51/200]	 Train Loss [0.2117]	 Train Acc [93.37]	 Train Time [28.06]
Round [52/200]	 Train Loss [0.2450]	 Train Acc [92.24]	 Train Time [37.07]
Round [53/200]	 Train Loss [0.2424]	 Train Acc [92.34]	 Train Time [43.42]
Round [54/200]	 Train Loss [0.2303]	 Train Acc [92.65]	 Train Time [40.74]
Round [55/200]	 Train Loss [0.2253]	 Train Acc [92.71]	 Train Time [33.05]
