Training FedAvg...
Round [1/200]	 Train Loss [1.3302]	 Train Acc [53.75]	 Train Time [76.45]
Round [2/200]	 Train Loss [1.0979]	 Train Acc [60.82]	 Train Time [70.09]
Round [3/200]	 Train Loss [1.0487]	 Train Acc [61.57]	 Train Time [68.60]
Round [4/200]	 Train Loss [0.7785]	 Train Acc [72.15]	 Train Time [61.65]
Round [5/200]	 Train Loss [0.6169]	 Train Acc [78.04]	 Train Time [65.54]
Round [6/200]	 Train Loss [0.4438]	 Train Acc [84.94]	 Train Time [71.08]
Round [7/200]	 Train Loss [0.3508]	 Train Acc [88.62]	 Train Time [61.18]
Round [8/200]	 Train Loss [0.2856]	 Train Acc [90.81]	 Train Time [61.49]
Round [9/200]	 Train Loss [0.2484]	 Train Acc [92.20]	 Train Time [68.59]
Round [10/200]	 Train Loss [0.2528]	 Train Acc [92.19]	 Train Time [69.25]
Round [11/200]	 Train Loss [0.2260]	 Train Acc [92.79]	 Train Time [59.60]
Round [12/200]	 Train Loss [0.2248]	 Train Acc [92.97]	 Train Time [43.61]
Round [13/200]	 Train Loss [0.1870]	 Train Acc [94.18]	 Train Time [64.46]
Round [14/200]	 Train Loss [0.1793]	 Train Acc [94.49]	 Train Time [77.04]
Round [15/200]	 Train Loss [0.1675]	 Train Acc [94.85]	 Train Time [62.36]
Round [16/200]	 Train Loss [0.1645]	 Train Acc [94.92]	 Train Time [67.46]
Round [17/200]	 Train Loss [0.1597]	 Train Acc [95.07]	 Train Time [59.24]
Round [18/200]	 Train Loss [0.1654]	 Train Acc [94.86]	 Train Time [67.44]
Round [19/200]	 Train Loss [0.1407]	 Train Acc [95.70]	 Train Time [53.79]
Round [20/200]	 Train Loss [0.1469]	 Train Acc [95.48]	 Test Loss [1.7146|1.6413]	 Test Acc [48.44(14.78)|69.26(11.94)]	 Train Time [61.41]
Round [21/200]	 Train Loss [0.1524]	 Train Acc [95.31]	 Train Time [64.04]
Round [22/200]	 Train Loss [0.1405]	 Train Acc [95.70]	 Train Time [58.25]
Round [23/200]	 Train Loss [0.1353]	 Train Acc [95.89]	 Train Time [70.46]
Round [24/200]	 Train Loss [0.1319]	 Train Acc [95.91]	 Train Time [62.98]
Round [25/200]	 Train Loss [0.1189]	 Train Acc [96.38]	 Train Time [64.34]
Round [26/200]	 Train Loss [0.1207]	 Train Acc [96.31]	 Train Time [76.92]
Round [27/200]	 Train Loss [0.1255]	 Train Acc [96.21]	 Train Time [55.54]
Round [28/200]	 Train Loss [0.1451]	 Train Acc [95.60]	 Train Time [50.26]
Round [29/200]	 Train Loss [0.1195]	 Train Acc [96.35]	 Train Time [77.18]
Round [30/200]	 Train Loss [0.1213]	 Train Acc [96.33]	 Train Time [69.46]
Round [31/200]	 Train Loss [0.1129]	 Train Acc [96.49]	 Train Time [95.52]
Round [32/200]	 Train Loss [0.1083]	 Train Acc [96.76]	 Train Time [67.98]
Round [33/200]	 Train Loss [0.1001]	 Train Acc [96.94]	 Train Time [69.52]
Round [34/200]	 Train Loss [0.1096]	 Train Acc [96.69]	 Train Time [75.03]
Round [35/200]	 Train Loss [0.1023]	 Train Acc [96.85]	 Train Time [61.69]
Round [36/200]	 Train Loss [0.1014]	 Train Acc [96.92]	 Train Time [54.79]
Round [37/200]	 Train Loss [0.1133]	 Train Acc [96.61]	 Train Time [57.29]
Round [38/200]	 Train Loss [0.1031]	 Train Acc [96.89]	 Train Time [83.82]
Round [39/200]	 Train Loss [0.1002]	 Train Acc [96.98]	 Train Time [69.32]
Round [40/200]	 Train Loss [0.1030]	 Train Acc [96.89]	 Test Loss [1.4744|1.4664]	 Test Acc [56.90(12.58)|70.89(11.17)]	 Train Time [60.64]
Round [41/200]	 Train Loss [0.0931]	 Train Acc [97.21]	 Train Time [47.53]
Round [42/200]	 Train Loss [0.0937]	 Train Acc [97.13]	 Train Time [54.17]
Round [43/200]	 Train Loss [0.1058]	 Train Acc [96.83]	 Train Time [76.54]
Round [44/200]	 Train Loss [0.0895]	 Train Acc [97.28]	 Train Time [71.53]
Round [45/200]	 Train Loss [0.0911]	 Train Acc [97.23]	 Train Time [69.99]
Round [46/200]	 Train Loss [0.0902]	 Train Acc [97.26]	 Train Time [69.71]
Round [47/200]	 Train Loss [0.0910]	 Train Acc [97.28]	 Train Time [51.53]
Round [48/200]	 Train Loss [0.0869]	 Train Acc [97.38]	 Train Time [75.30]
Round [49/200]	 Train Loss [0.0881]	 Train Acc [97.38]	 Train Time [75.89]
Round [50/200]	 Train Loss [0.0811]	 Train Acc [97.57]	 Train Time [64.39]
Round [51/200]	 Train Loss [0.0827]	 Train Acc [97.48]	 Train Time [84.12]
Round [52/200]	 Train Loss [0.0874]	 Train Acc [97.36]	 Train Time [88.46]
Round [53/200]	 Train Loss [0.0848]	 Train Acc [97.52]	 Train Time [50.97]
Round [54/200]	 Train Loss [0.0838]	 Train Acc [97.48]	 Train Time [59.53]
Round [55/200]	 Train Loss [0.0817]	 Train Acc [97.56]	 Train Time [78.69]
Round [56/200]	 Train Loss [0.0851]	 Train Acc [97.45]	 Train Time [60.82]
Round [57/200]	 Train Loss [0.0798]	 Train Acc [97.61]	 Train Time [64.16]
Round [58/200]	 Train Loss [0.0811]	 Train Acc [97.57]	 Train Time [61.80]
Round [59/200]	 Train Loss [0.0784]	 Train Acc [97.66]	 Train Time [60.53]
Round [60/200]	 Train Loss [0.0802]	 Train Acc [97.56]	 Test Loss [1.3878|1.3671]	 Test Acc [58.28(12.70)|72.66(10.50)]	 Train Time [86.63]
Round [61/200]	 Train Loss [0.0717]	 Train Acc [97.84]	 Train Time [75.28]
Round [62/200]	 Train Loss [0.0809]	 Train Acc [97.57]	 Train Time [50.66]
Round [63/200]	 Train Loss [0.0741]	 Train Acc [97.76]	 Train Time [60.89]
Round [64/200]	 Train Loss [0.0712]	 Train Acc [97.85]	 Train Time [77.00]
Round [65/200]	 Train Loss [0.0730]	 Train Acc [97.81]	 Train Time [72.15]
Round [66/200]	 Train Loss [0.0736]	 Train Acc [97.76]	 Train Time [61.96]
Round [67/200]	 Train Loss [0.0710]	 Train Acc [97.85]	 Train Time [69.56]
Round [68/200]	 Train Loss [0.0779]	 Train Acc [97.67]	 Train Time [65.96]
Round [69/200]	 Train Loss [0.0759]	 Train Acc [97.67]	 Train Time [77.95]
Round [70/200]	 Train Loss [0.0706]	 Train Acc [97.84]	 Train Time [71.10]
Round [71/200]	 Train Loss [0.0722]	 Train Acc [97.82]	 Train Time [71.06]
Round [72/200]	 Train Loss [0.0735]	 Train Acc [97.79]	 Train Time [58.62]
Round [73/200]	 Train Loss [0.0772]	 Train Acc [97.69]	 Train Time [58.29]
Round [74/200]	 Train Loss [0.0738]	 Train Acc [97.77]	 Train Time [59.38]
