Training pFedFDA...
Round [1/200]	 Train Loss [1.3500]	 Train Acc [51.72]	 Train Time [59.29]
Round [2/200]	 Train Loss [1.0485]	 Train Acc [62.38]	 Train Time [47.10]
Round [3/200]	 Train Loss [0.7277]	 Train Acc [73.77]	 Train Time [49.07]
Round [4/200]	 Train Loss [0.5678]	 Train Acc [80.35]	 Train Time [53.39]
Round [5/200]	 Train Loss [0.4310]	 Train Acc [85.44]	 Train Time [33.02]
Round [6/200]	 Train Loss [0.3776]	 Train Acc [87.49]	 Train Time [64.41]
Round [7/200]	 Train Loss [0.3248]	 Train Acc [89.53]	 Train Time [62.30]
Round [8/200]	 Train Loss [0.2920]	 Train Acc [90.65]	 Train Time [62.75]
Round [9/200]	 Train Loss [0.2592]	 Train Acc [91.90]	 Train Time [66.83]
Round [10/200]	 Train Loss [0.2314]	 Train Acc [92.69]	 Train Time [65.66]
Round [11/200]	 Train Loss [0.2354]	 Train Acc [92.76]	 Train Time [41.84]
Round [12/200]	 Train Loss [0.2224]	 Train Acc [93.13]	 Train Time [51.16]
Round [13/200]	 Train Loss [0.2090]	 Train Acc [93.51]	 Train Time [62.87]
Round [14/200]	 Train Loss [0.2035]	 Train Acc [93.77]	 Train Time [59.65]
Round [15/200]	 Train Loss [0.1898]	 Train Acc [94.17]	 Train Time [62.82]
Round [16/200]	 Train Loss [0.1911]	 Train Acc [94.11]	 Train Time [51.46]
Round [17/200]	 Train Loss [0.1889]	 Train Acc [94.26]	 Train Time [54.36]
Round [18/200]	 Train Loss [0.1743]	 Train Acc [94.67]	 Train Time [46.06]
Round [19/200]	 Train Loss [0.1627]	 Train Acc [95.03]	 Train Time [55.48]
KL Divergence: μ=24.0784
Round [20/200]	 Train Loss [0.1800]	 Train Acc [94.45]	 Test Loss [0.8376]	 Test Acc [71.35(10.38)]	 Train Time [61.14]
Round [21/200]	 Train Loss [0.1686]	 Train Acc [94.86]	 Train Time [52.55]
Round [22/200]	 Train Loss [0.1565]	 Train Acc [95.27]	 Train Time [66.91]
Round [23/200]	 Train Loss [0.1533]	 Train Acc [95.41]	 Train Time [61.07]
Round [24/200]	 Train Loss [0.1411]	 Train Acc [95.72]	 Train Time [63.20]
Round [25/200]	 Train Loss [0.1511]	 Train Acc [95.42]	 Train Time [70.15]
Round [26/200]	 Train Loss [0.1487]	 Train Acc [95.42]	 Train Time [71.90]
Round [27/200]	 Train Loss [0.1342]	 Train Acc [96.01]	 Train Time [60.39]
Round [28/200]	 Train Loss [0.1284]	 Train Acc [96.07]	 Train Time [43.95]
Round [29/200]	 Train Loss [0.1425]	 Train Acc [95.68]	 Train Time [51.22]
Round [30/200]	 Train Loss [0.1299]	 Train Acc [96.16]	 Train Time [49.74]
Round [31/200]	 Train Loss [0.1294]	 Train Acc [96.11]	 Train Time [57.28]
Round [32/200]	 Train Loss [0.1367]	 Train Acc [95.82]	 Train Time [77.82]
Round [33/200]	 Train Loss [0.1221]	 Train Acc [96.28]	 Train Time [70.34]
Round [34/200]	 Train Loss [0.1258]	 Train Acc [96.14]	 Train Time [73.97]
Round [35/200]	 Train Loss [0.1160]	 Train Acc [96.48]	 Train Time [52.27]
Round [36/200]	 Train Loss [0.1246]	 Train Acc [96.26]	 Train Time [55.31]
Round [37/200]	 Train Loss [0.1387]	 Train Acc [95.82]	 Train Time [48.02]
Round [38/200]	 Train Loss [0.1163]	 Train Acc [96.49]	 Train Time [62.69]
Round [39/200]	 Train Loss [0.1201]	 Train Acc [96.31]	 Train Time [46.57]
KL Divergence: μ=17.0615
Round [40/200]	 Train Loss [0.1159]	 Train Acc [96.46]	 Test Loss [0.8498]	 Test Acc [72.80(9.99)]	 Train Time [41.87]
Round [41/200]	 Train Loss [0.1214]	 Train Acc [96.36]	 Train Time [59.31]
Round [42/200]	 Train Loss [0.1126]	 Train Acc [96.62]	 Train Time [71.08]
Round [43/200]	 Train Loss [0.1174]	 Train Acc [96.45]	 Train Time [56.63]
Round [44/200]	 Train Loss [0.1197]	 Train Acc [96.40]	 Train Time [52.14]
Round [45/200]	 Train Loss [0.1094]	 Train Acc [96.64]	 Train Time [41.93]
Round [46/200]	 Train Loss [0.1005]	 Train Acc [96.99]	 Train Time [48.87]
Round [47/200]	 Train Loss [0.1146]	 Train Acc [96.50]	 Train Time [54.10]
Round [48/200]	 Train Loss [0.1028]	 Train Acc [96.90]	 Train Time [40.42]
Round [49/200]	 Train Loss [0.1099]	 Train Acc [96.71]	 Train Time [51.60]
Round [50/200]	 Train Loss [0.1159]	 Train Acc [96.49]	 Train Time [47.70]
Round [51/200]	 Train Loss [0.0999]	 Train Acc [96.95]	 Train Time [58.03]
Round [52/200]	 Train Loss [0.1019]	 Train Acc [96.87]	 Train Time [63.48]
Round [53/200]	 Train Loss [0.0984]	 Train Acc [96.96]	 Train Time [39.02]
Round [54/200]	 Train Loss [0.0978]	 Train Acc [97.00]	 Train Time [42.67]
Round [55/200]	 Train Loss [0.1039]	 Train Acc [96.87]	 Train Time [58.83]
Round [56/200]	 Train Loss [0.0984]	 Train Acc [96.99]	 Train Time [83.53]
Round [57/200]	 Train Loss [0.0959]	 Train Acc [97.06]	 Train Time [55.01]
Round [58/200]	 Train Loss [0.0907]	 Train Acc [97.23]	 Train Time [39.84]
Round [59/200]	 Train Loss [0.1010]	 Train Acc [96.95]	 Train Time [81.27]
KL Divergence: μ=9.7360
Round [60/200]	 Train Loss [0.0944]	 Train Acc [97.16]	 Test Loss [0.8353]	 Test Acc [73.68(10.14)]	 Train Time [56.32]
Round [61/200]	 Train Loss [0.1041]	 Train Acc [96.88]	 Train Time [37.79]
Round [62/200]	 Train Loss [0.1068]	 Train Acc [96.78]	 Train Time [56.65]
Round [63/200]	 Train Loss [0.0923]	 Train Acc [97.18]	 Train Time [30.81]
Round [64/200]	 Train Loss [0.0970]	 Train Acc [97.08]	 Train Time [54.47]
Round [65/200]	 Train Loss [0.1040]	 Train Acc [96.84]	 Train Time [50.33]
Round [66/200]	 Train Loss [0.0992]	 Train Acc [97.01]	 Train Time [65.81]
Round [67/200]	 Train Loss [0.0951]	 Train Acc [97.12]	 Train Time [49.49]
Round [68/200]	 Train Loss [0.0940]	 Train Acc [97.13]	 Train Time [51.92]
Round [69/200]	 Train Loss [0.1052]	 Train Acc [96.83]	 Train Time [59.42]
Round [70/200]	 Train Loss [0.0874]	 Train Acc [97.30]	 Train Time [52.85]
Round [71/200]	 Train Loss [0.0911]	 Train Acc [97.21]	 Train Time [70.23]
Round [72/200]	 Train Loss [0.0975]	 Train Acc [97.03]	 Train Time [50.65]
Round [73/200]	 Train Loss [0.0897]	 Train Acc [97.26]	 Train Time [45.06]
Round [74/200]	 Train Loss [0.0925]	 Train Acc [97.17]	 Train Time [46.48]
Round [75/200]	 Train Loss [0.1101]	 Train Acc [96.68]	 Train Time [42.76]
Round [76/200]	 Train Loss [0.0881]	 Train Acc [97.32]	 Train Time [61.80]
Round [77/200]	 Train Loss [0.0899]	 Train Acc [97.23]	 Train Time [53.40]
Round [78/200]	 Train Loss [0.0894]	 Train Acc [97.24]	 Train Time [60.15]
